"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Pt-189","10.87h","0.01","9.7E-12","3E-11","1.5E-11","1.8E-13","1.7E-12","1.2E-12","1.2E-10","2.5E-10","6.3E-10","7E-10","6.6E-10","2.2E-11","1.5E-11","1.4E-11","1.1E-10","2.3E-11","2E-11","3.7E-13","2.8E-12","4.4E-12","1.6E-11","7.3E-12","1.2E-12","3.7E-13","5.8E-11","1.8E-11","1.2E-10"
"Pt-191","2.8d","0.01","1.9E-11","8.9E-11","4E-11","7.1E-13","2.9E-12","2.4E-12","1.6E-10","4.5E-10","1.4E-09","2.9E-09","2E-09","4.9E-11","2.8E-11","3.3E-11","2.9E-10","3.7E-11","4.9E-11","1.1E-12","4.9E-12","1E-11","3E-11","2.4E-11","2.4E-12","1.1E-12","1.3E-10","4E-11","3.4E-10"
"Pt-193","50y","0.01","2.1E-12","4.7E-13","3.2E-13","2.8E-13","2.8E-13","2.8E-13","9.2E-12","2.2E-11","1.3E-10","3.9E-10","2.5E-10","9.9E-12","1.7E-12","3E-13","6.9E-13","2.9E-13","2.6E-13","2.8E-13","2.8E-13","2.8E-13","1.7E-12","2.8E-13","2.8E-13","2.8E-13","2.9E-13","8.6E-13","3.1E-11"
"Pt-193m","4.33d","0.01","6E-12","6.3E-12","3.5E-12","7.7E-13","8.1E-13","8E-13","1.6E-10","4E-10","2.2E-09","5.4E-09","3.6E-09","2.5E-11","5.3E-12","2.2E-12","1.5E-11","2.3E-12","2.7E-12","7.8E-13","8.9E-13","1.1E-12","5.3E-12","1.7E-12","8E-13","7.8E-13","7.1E-12","1.1E-11","4.5E-10"
"Pt-195m","4.02d","0.01","1.1E-11","3E-11","1.8E-11","1.1E-12","1.4E-12","1.3E-12","2.4E-10","6E-10","3E-09","7.3E-09","4.8E-09","4.1E-11","1.2E-11","1E-11","9E-11","1.1E-11","1.4E-11","1.2E-12","1.9E-12","3.3E-12","1.3E-11","6.9E-12","1.3E-12","1.2E-12","4.1E-11","2.2E-11","6.3E-10"
"Pt-197","18.3h","0.01","2.6E-12","5.1E-12","2.6E-12","3.3E-13","4.2E-13","3.9E-13","2.9E-10","6.2E-10","2.5E-09","3.8E-09","3E-09","9.5E-12","2.8E-12","1.8E-12","1.3E-11","2.5E-12","2.4E-12","3.4E-13","5.3E-13","7.3E-13","2.9E-12","1.1E-12","3.9E-13","3.4E-13","7E-12","1.5E-11","4E-10"
"Pt-197m","94.4m","0.01","9.4E-13","1.3E-12","8.7E-13","4.6E-14","1.7E-13","1.2E-13","2.8E-10","2.8E-10","4.3E-10","4E-10","4.1E-10","2E-12","9.5E-13","7.3E-13","4.6E-12","2.7E-12","9.2E-13","5.4E-14","2.8E-13","2.5E-13","1.8E-12","2.3E-13","1.2E-13","5.4E-14","3.1E-12","6.6E-12","8.4E-11"
"Pt-199","30.8m","0.01","8.5E-13","5.9E-13","3.4E-13","1.1E-14","1.9E-13","1.4E-13","2.7E-10","1.1E-10","5.1E-11","4E-11","4.6E-11","1.1E-12","6.1E-13","4.8E-13","2.1E-12","2.9E-12","5.9E-13","2.6E-14","3E-13","1.9E-13","1.9E-12","1.3E-13","1.4E-13","2.6E-14","1.6E-12","2.7E-12","3.9E-11"
"Pt-200","12.5h","0.01","1.3E-11","3.5E-11","1.2E-11","1E-12","2.7E-12","2.2E-12","6.8E-10","2.1E-09","8.1E-09","1E-08","9E-09","3.8E-11","1.8E-11","1.5E-11","1.1E-10","2E-11","2.1E-11","1.3E-12","3.7E-12","5.9E-12","1.7E-11","9.3E-12","2.2E-12","1.3E-12","5.7E-11","5.9E-11","1.2E-09"
"Au-193","17.65h","0.1","7.3E-12","3E-11","1.5E-11","1.8E-12","2.2E-12","2.4E-12","1.1E-10","2.3E-10","7.1E-10","1E-09","8.4E-10","1.4E-11","1E-11","1.1E-11","7.9E-11","1.6E-11","1.5E-11","2E-12","3.3E-12","4E-12","1.1E-11","6.8E-12","2.4E-12","2E-12","4.2E-11","1.5E-11","1.3E-10"
"Au-194","39.5h","0.1","5.8E-11","2.2E-10","7.2E-11","1E-11","1.8E-11","1.9E-11","2.8E-10","7E-10","1.5E-09","2.3E-09","1.8E-09","1.1E-10","7.9E-11","8.6E-11","6.2E-10","1.1E-10","1.2E-10","1.4E-11","2.6E-11","3.6E-11","8.2E-11","6.7E-11","1.9E-11","1.4E-11","3E-10","9.6E-11","4.2E-10"
"Au-195","183d","0.1","1.3E-11","7.3E-11","3.5E-11","7.6E-12","7E-12","8.1E-12","9.8E-11","2.5E-10","9.9E-10","2.7E-09","1.7E-09","1.9E-11","1.6E-11","1.9E-11","1.2E-10","2E-11","2.4E-11","8.1E-12","9.1E-12","9.2E-12","1.7E-11","1.5E-11","8.1E-12","8.1E-12","6.1E-11","2.3E-11","2.5E-10"
"Au-198","2.696d","0.1","4E-11","1.9E-10","4.6E-11","1.8E-11","2.1E-11","2.2E-11","4.9E-10","1.1E-09","4.7E-09","1.1E-08","7.3E-09","6.4E-11","4.9E-11","5.4E-11","3.2E-10","6.2E-11","7.7E-11","1.9E-11","2.4E-11","2.9E-11","5.1E-11","4.8E-11","2.2E-11","1.9E-11","1.6E-10","7.5E-11","1E-09"
"Au-198m","2.30d","0.1","6.2E-11","3.1E-10","1E-10","2.6E-11","2.9E-11","3.2E-11","5.2E-10","1.3E-09","5.2E-09","1.3E-08","8.6E-09","1E-10","7.6E-11","8.7E-11","5.6E-10","1E-10","1.2E-10","2.9E-11","3.6E-11","4.2E-11","8.2E-11","7.3E-11","3.2E-11","2.9E-11","2.9E-10","1.1E-10","1.3E-09"
"Au-199","3.139d","0.1","1.2E-11","6.8E-11","1.9E-11","7.4E-12","7.6E-12","8E-12","2E-10","4.4E-10","2E-09","4.8E-09","3.2E-09","1.8E-11","1.5E-11","1.6E-11","8.3E-11","1.8E-11","2.1E-11","7.7E-12","8.7E-12","9.5E-12","1.5E-11","1.4E-11","8E-12","7.7E-12","4.5E-11","2.4E-11","4.4E-10"
"Au-200","48.4m","0.1","1.4E-12","1.2E-12","6E-13","1.1E-13","4.4E-13","3.6E-13","4.7E-10","2.6E-10","1.3E-10","1.9E-11","8.2E-11","1.8E-12","1.2E-12","9.3E-13","3.7E-12","4.6E-12","1.1E-12","1.5E-13","6.2E-13","4.4E-13","3E-12","3.1E-13","3.6E-13","1.5E-13","3E-12","6.3E-12","6.8E-11"
"Au-200m","18.7h","0.1","9.4E-11","3.2E-10","9.8E-11","1.6E-11","2.9E-11","2.9E-11","7.9E-10","1.8E-09","5.3E-09","7.4E-09","6.2E-09","1.7E-10","1.3E-10","1.3E-10","8.9E-10","1.8E-10","1.9E-10","2.1E-11","4E-11","5.3E-11","1.3E-10","9.2E-11","2.9E-11","2.1E-11","4.6E-10","1.6E-10","1.1E-09"
"Au-201","26.4m","0.1","2E-13","1.1E-13","7.1E-14","1.4E-14","5.5E-14","4.3E-14","1.9E-10","6.4E-11","1.8E-11","1.6E-12","1.1E-11","2.2E-13","1.3E-13","1.1E-13","3.4E-13","6.8E-13","1.2E-13","1.8E-14","8E-14","4.9E-14","4.4E-13","3E-14","4.3E-14","1.8E-14","2.8E-13","1.4E-12","2.4E-11"
"Hg-193","3.5h","0.02","3.9E-12","1E-11","6.6E-12","1.7E-13","6.6E-13","5.1E-13","1.6E-10","2.3E-10","4.8E-10","4.1E-10","4.5E-10","9.1E-12","5.4E-12","5E-12","3.9E-11","1.1E-11","6.9E-12","2.2E-13","1.2E-12","1.5E-12","7.4E-12","2.2E-12","5.1E-13","2.2E-13","2.3E-11","9.7E-12","8.2E-11"
"Hg-193","3.5h","1.0","1.5E-11","1.2E-11","1.9E-11","6E-11","9.6E-12","1.1E-11","1.6E-10","1.7E-11","2.1E-11","1.9E-11","2E-11","9.1E-11","1.3E-11","1.1E-11","1.3E-11","2E-11","1.2E-11","1.2E-11","1.2E-11","9.3E-12","1.7E-11","1E-11","1.1E-11","1.2E-11","1.3E-11","1.5E-11","3.1E-11"
"Hg-193","3.5h","0.4","7.4E-12","1.1E-11","1.1E-11","2E-11","3.4E-12","3.8E-12","1.6E-10","1.7E-10","3.4E-10","2.8E-10","3.1E-10","3.6E-11","7.7E-12","7E-12","3.1E-11","1.4E-11","8.4E-12","3.9E-12","4.5E-12","3.9E-12","1E-11","4.7E-12","3.8E-12","3.9E-12","2E-11","1.1E-11","6.6E-11"
"Hg-193m","11.1h","0.02","3.3E-11","1E-10","4E-11","1.4E-12","7.2E-12","5.7E-12","3.4E-10","7.3E-10","2E-09","2.5E-09","2.2E-09","7.6E-11","4.8E-11","4.6E-11","3.5E-10","7.3E-11","6.8E-11","2.3E-12","1.1E-11","1.7E-11","5.2E-11","2.8E-11","5.7E-12","2.3E-12","1.8E-10","5.9E-11","4E-10"
"Hg-193m","11.1h","1.0","1E-10","7.7E-11","1.1E-10","4E-10","5.7E-11","7.2E-11","3.3E-10","9.6E-11","1.1E-10","1.2E-10","1.2E-10","5.6E-10","8.5E-11","7.3E-11","8.8E-11","1.2E-10","8.1E-11","7.9E-11","7.3E-11","5.6E-11","1.1E-10","6.6E-11","7.2E-11","7.9E-11","8.6E-11","3.2E-10","1.3E-10"
"Hg-193m","11.1h","0.4","5.8E-11","9.3E-11","6.5E-11","1.5E-10","2.5E-11","2.9E-11","3.4E-10","5E-10","1.3E-09","1.7E-09","1.5E-09","2.5E-10","6.1E-11","5.5E-11","2.6E-10","9E-11","7.3E-11","2.9E-11","3.3E-11","3.1E-11","7.1E-11","4.1E-11","2.9E-11","2.9E-11","1.5E-10","7.1E-11","3E-10"
"Hg-194","260y","0.02","1.4E-09","1.1E-09","1.2E-09","7.2E-10","6.5E-10","8.7E-10","1.1E-09","1.4E-09","1.8E-09","3.6E-09","2.6E-09","5.6E-09","1.1E-09","9.1E-10","1.5E-09","1.3E-09","1E-09","8.9E-10","8.6E-10","6.2E-10","1.3E-09","8.7E-10","8.7E-10","8.9E-10","1.3E-09","3.3E-09","1.4E-09"
"Hg-194","260y","1.0","6.4E-08","4.1E-08","6.3E-08","2.6E-07","2.9E-08","3.9E-08","4.5E-08","4.9E-08","4.7E-08","4.7E-08","4.7E-08","3E-07","4.9E-08","4E-08","4.7E-08","5.9E-08","4.9E-08","4.9E-08","3.9E-08","3E-08","5.9E-08","3.6E-08","3.9E-08","4.9E-08","4.8E-08","1.7E-07","5.1E-08"
"Hg-194","260y","0.4","2.6E-08","1.7E-08","2.5E-08","1.1E-07","1.2E-08","1.6E-08","1.8E-08","2E-08","1.9E-08","2E-08","2E-08","1.2E-07","2E-08","1.6E-08","1.9E-08","2.4E-08","2E-08","2E-08","1.6E-08","1.2E-08","2.4E-08","1.4E-08","1.6E-08","2E-08","1.9E-08","7E-08","2.1E-08"
"Hg-195","9.9h","0.02","5.6E-12","1.6E-11","8.4E-12","2.9E-13","1.2E-12","9.4E-13","1.1E-10","2.1E-10","5.6E-10","5.8E-10","5.7E-10","1.4E-11","8.3E-12","7.7E-12","6E-11","1.4E-11","1.1E-11","4.3E-13","1.8E-12","2.7E-12","9.3E-12","4.1E-12","9.4E-13","4.3E-13","3.3E-11","1.2E-11","9.7E-11"
"Hg-195","9.9h","1.0","2.3E-11","1.8E-11","2.9E-11","1.1E-10","1.4E-11","1.7E-11","1.1E-10","2.2E-11","2.8E-11","2.9E-11","2.9E-11","1.6E-10","1.9E-11","1.7E-11","2E-11","2.7E-11","1.8E-11","1.8E-11","1.7E-11","1.4E-11","2.4E-11","1.6E-11","1.7E-11","1.8E-11","1.9E-11","9.1E-11","3.4E-11"
"Hg-195","9.9h","0.4","1.2E-11","1.7E-11","1.6E-11","3.9E-11","5.6E-12","6.4E-12","1.1E-10","1.5E-10","3.8E-10","3.9E-10","3.9E-10","6.6E-11","1.2E-11","1.1E-11","4.7E-11","1.8E-11","1.3E-11","6.5E-12","7.2E-12","6.5E-12","1.4E-11","8.1E-12","6.4E-12","6.5E-12","2.8E-11","1.6E-11","7.5E-11"
"Hg-195m","41.6h","0.02","1.6E-11","7.1E-11","3E-11","2.8E-12","4.6E-12","4.4E-12","2.4E-10","6.3E-10","2.6E-09","5.6E-09","3.9E-09","6.4E-11","2.3E-11","2.7E-11","2.2E-10","3.1E-11","4.1E-11","3.2E-12","6.3E-12","1E-11","2.4E-11","2.1E-11","4.4E-12","3.2E-12","1E-10","3.9E-11","5.6E-10"
"Hg-195m","41.6h","1.0","1.7E-10","1.4E-10","2E-10","1.2E-09","1.1E-10","1.3E-10","3.4E-10","1.6E-10","2E-10","2.6E-10","2.3E-10","1.9E-09","1.5E-10","1.3E-10","1.5E-10","1.7E-10","1.4E-10","1.4E-10","1.3E-10","1.1E-10","1.6E-10","1.2E-10","1.3E-10","1.4E-10","1.5E-10","1E-09","2.2E-10"
"Hg-195m","41.6h","0.4","7.4E-11","9.8E-11","9.5E-11","4.7E-10","4.6E-11","5.2E-11","2.8E-10","4.5E-10","1.7E-09","3.6E-09","2.5E-09","7.7E-10","7E-11","6.7E-11","1.9E-10","8.3E-11","7.9E-11","5.7E-11","5.4E-11","5E-11","7.7E-11","6E-11","5.2E-11","5.7E-11","1.2E-10","1E-10","4.1E-10"
"Hg-197","64.1h","0.02","4.8E-12","2.4E-11","1.6E-11","1.3E-12","1.4E-12","1.5E-12","1E-10","2.5E-10","1.1E-09","2.4E-09","1.7E-09","2.6E-11","7.1E-12","8.9E-12","7.6E-11","1E-11","1.2E-11","1.3E-12","2E-12","3E-12","7.8E-12","6E-12","1.5E-12","1.3E-12","3.6E-11","1.4E-11","2.3E-10"
"Hg-197","64.1h","1.0","7.1E-11","6.3E-11","1.1E-10","5.7E-10","5E-11","5.7E-11","1.5E-10","6.6E-11","8.8E-11","1.2E-10","1E-10","9.4E-10","6.3E-11","5.7E-11","6.3E-11","7.1E-11","5.9E-11","6.1E-11","5.9E-11","5E-11","6.9E-11","5.4E-11","5.7E-11","6.1E-11","6.2E-11","5.1E-10","9.9E-11"
"Hg-197","64.1h","0.4","3E-11","3.8E-11","5.1E-11","2.3E-10","2E-11","2.2E-11","1.2E-10","1.8E-10","7E-10","1.5E-09","1.1E-09","3.8E-10","2.8E-11","2.7E-11","7.1E-11","3.3E-11","3E-11","2.4E-11","2.4E-11","2.1E-11","3.1E-11","2.4E-11","2.2E-11","2.4E-11","4.6E-11","4.3E-11","1.7E-10"
"Hg-197m","23.8h","0.02","5.9E-12","2.4E-11","1.4E-11","1.6E-12","2E-12","1.9E-12","2.7E-10","6.1E-10","2.6E-09","4.7E-09","3.5E-09","3.2E-11","8.2E-12","9.4E-12","7.2E-11","1.2E-11","1.3E-11","1.7E-12","2.6E-12","3.7E-12","9E-12","6.5E-12","1.9E-12","1.7E-12","3.6E-11","2.2E-11","4.7E-10"
"Hg-197m","23.8h","1.0","8.6E-11","8.2E-11","1.1E-10","7.3E-10","7E-11","7.5E-11","3.3E-10","8.7E-11","1.3E-10","1.7E-10","1.4E-10","1.2E-09","7.9E-11","7.5E-11","8E-11","8.7E-11","7.7E-11","7.8E-11","7.6E-11","6.9E-11","8.5E-11","7.3E-11","7.5E-11","7.8E-11","8E-11","6.7E-10","1.5E-10"
"Hg-197m","23.8h","0.4","3.6E-11","4.5E-11","4.9E-11","2.8E-10","2.7E-11","2.9E-11","2.9E-10","4.2E-10","1.7E-09","3E-09","2.3E-09","4.8E-10","3.5E-11","3.4E-11","7.5E-11","4E-11","3.7E-11","3E-11","3E-11","2.8E-11","3.7E-11","3.1E-11","2.9E-11","3E-11","5.2E-11","5.8E-11","3.4E-10"
"Hg-199m","42.6m","0.02","9.4E-13","6.1E-13","6E-13","9.4E-15","1.8E-13","1.2E-13","2.2E-10","1.1E-10","5.1E-11","7.2E-12","3.2E-11","1.3E-12","7.3E-13","5.7E-13","2.6E-12","3.7E-12","6.6E-13","1.9E-14","3.3E-13","1.9E-13","2.3E-12","9.1E-14","1.2E-13","1.9E-14","2.1E-12","2.8E-12","3.1E-11"
"Hg-199m","42.6m","1.0","2.5E-12","1.8E-12","2.3E-12","3.2E-12","1.8E-12","1.8E-12","2.2E-10","7.4E-12","4.8E-12","2.3E-12","3.7E-12","5.2E-12","2.2E-12","2E-12","2.1E-12","5.1E-12","1.9E-12","1.7E-12","2E-12","1.7E-12","3.8E-12","1.7E-12","1.8E-12","1.7E-12","2E-12","2.2E-12","2.8E-11"
"Hg-199m","42.6m","0.4","1.1E-12","7.5E-13","8E-13","4.1E-13","3.7E-13","3.3E-13","2.2E-10","9.7E-11","4.5E-11","6.6E-12","2.8E-11","1.7E-12","9E-13","7.4E-13","2.5E-12","3.8E-12","8.2E-13","2.3E-13","5.4E-13","3.7E-13","2.5E-12","2.9E-13","3.3E-13","2.3E-13","2.1E-12","2.8E-12","3.1E-11"
"Hg-203","46.60d","0.02","4.6E-11","1.2E-10","5.6E-11","2.1E-11","2.2E-11","2.5E-11","2.1E-10","5.4E-10","2E-09","5.5E-09","3.5E-09","3.2E-10","4.9E-11","5.4E-11","2.9E-10","6.1E-11","7.4E-11","2.4E-11","2.7E-11","2.9E-11","5.4E-11","4.8E-11","2.5E-11","2.4E-11","1.5E-10","6.5E-11","5.4E-10"
"Hg-203","46.60d","1.0","1.7E-09","1.4E-09","1.8E-09","1.2E-08","1E-09","1.2E-09","1.5E-09","1.5E-09","1.8E-09","2.4E-09","2E-09","1.8E-08","1.4E-09","1.3E-09","1.5E-09","1.6E-09","1.5E-09","1.4E-09","1.3E-09","1.1E-09","1.6E-09","1.2E-09","1.2E-09","1.4E-09","1.4E-09","1E-08","1.9E-09"
"Hg-203","46.60d","0.4","7E-10","6.2E-10","7.2E-10","4.8E-09","4.2E-10","5E-10","7.2E-10","9.1E-10","1.9E-09","4.3E-09","2.9E-09","7.5E-09","5.9E-10","5.3E-10","7.5E-10","6.8E-10","6.2E-10","5.8E-10","5.1E-10","4.4E-10","6.7E-10","4.9E-10","5E-10","5.8E-10","6.6E-10","4.1E-09","1.1E-09"
"Tl-194","33m","1.0","3.8E-12","1.3E-12","1.7E-12","7.4E-13","1.2E-12","1.3E-12","5.3E-11","3.7E-12","4.1E-12","2.1E-12","3.2E-12","4.7E-12","2.4E-12","1.8E-12","2E-12","1.2E-11","1.8E-12","9.6E-13","1.9E-12","9.8E-13","7.6E-12","9.1E-13","1.3E-12","9.6E-13","1.9E-12","1.9E-12","8.1E-12"
"Tl-194m","32.8m","1.0","1.2E-11","4.7E-12","5.3E-12","2.8E-12","4.4E-12","4.5E-12","2.8E-10","1.4E-11","1.4E-11","6.8E-12","1.1E-11","1.8E-11","7.6E-12","5.9E-12","6.6E-12","3.4E-11","5.8E-12","3.5E-12","6.1E-12","3.6E-12","2.3E-11","3.3E-12","4.5E-12","3.5E-12","6.2E-12","6.3E-12","4E-11"
"Tl-195","1.16h","1.0","1.3E-11","8.9E-12","9.3E-12","5.5E-12","6.3E-12","7.3E-12","1.5E-10","1.4E-11","1.8E-11","1.3E-11","1.6E-11","2.7E-11","9.9E-12","8.1E-12","9.8E-12","2.9E-11","8.1E-12","6.6E-12","8.3E-12","5.5E-12","2E-11","6.2E-12","7.3E-12","6.6E-12","9.5E-12","8.5E-12","2.7E-11"
"Tl-197","2.84h","1.0","1.2E-11","1.2E-11","1.3E-11","7.5E-12","7.3E-12","8.6E-12","1E-10","1.4E-11","2.2E-11","2.6E-11","2.4E-11","3.7E-11","1E-11","8.9E-12","1.1E-11","2E-11","9.1E-12","8.5E-12","9.2E-12","6.7E-12","1.6E-11","8E-12","8.6E-12","8.5E-12","1.1E-11","9.3E-12","2.3E-11"
"Tl-198","5.3h","1.0","6.2E-11","5.1E-11","4.9E-11","3.1E-11","3.1E-11","4.1E-11","2.4E-10","6.3E-11","7.4E-11","6.1E-11","6.8E-11","1.1E-10","5.1E-11","4.2E-11","5.6E-11","9.8E-11","4.5E-11","4E-11","4.2E-11","2.8E-11","7.6E-11","3.8E-11","4.1E-11","4E-11","5.5E-11","4.3E-11","7.3E-11"
"Tl-198m","1.87h","1.0","2.9E-11","2.3E-11","2.2E-11","1.5E-11","1.5E-11","1.8E-11","2.9E-10","3.2E-11","3.8E-11","2.7E-11","3.3E-11","6.1E-11","2.3E-11","1.9E-11","2.5E-11","5E-11","2E-11","1.8E-11","1.9E-11","1.3E-11","3.8E-11","1.7E-11","1.8E-11","1.8E-11","2.4E-11","2E-11","5.4E-11"
"Tl-199","7.42h","1.0","1.7E-11","1.7E-11","1.9E-11","1.1E-11","9.8E-12","1.2E-11","1E-10","1.8E-11","2.8E-11","2.6E-11","2.7E-11","5E-11","1.4E-11","1.2E-11","1.6E-11","2.3E-11","1.3E-11","1.2E-11","1.3E-11","9.2E-12","1.9E-11","1.1E-11","1.2E-11","1.2E-11","1.5E-11","1.3E-11","2.6E-11"
"Tl-200","26.1h","1.0","1.9E-10","1.9E-10","1.7E-10","1.1E-10","1E-10","1.4E-10","3.2E-10","2.1E-10","2.6E-10","3E-10","2.8E-10","3.7E-10","1.7E-10","1.4E-10","2.1E-10","2.2E-10","1.5E-10","1.4E-10","1.4E-10","9.4E-11","1.9E-10","1.3E-10","1.4E-10","1.4E-10","1.9E-10","2.6E-10","2E-10"
"Tl-201","3.044d","1.0","6.7E-11","9E-11","1E-10","5.3E-11","4.6E-11","5.5E-11","1.2E-10","7.4E-11","1.6E-10","3E-10","2.2E-10","2.7E-10","6.1E-11","5.5E-11","7.5E-11","7.1E-11","5.5E-11","5.8E-11","5.8E-11","4.4E-11","6.5E-11","5.3E-11","5.5E-11","5.8E-11","6.9E-11","1.6E-10","9.5E-11"
"Tl-202","12.23d","1.0","4.2E-10","4.6E-10","4.5E-10","2.7E-10","2.3E-10","3.1E-10","4.3E-10","4.9E-10","6.4E-10","1E-09","8E-10","9E-10","3.7E-10","3.1E-10","5.2E-10","4.4E-10","3.5E-10","3.2E-10","3.1E-10","2.1E-10","4E-10","3.1E-10","3.1E-10","3.2E-10","4.5E-10","6.1E-10","4.5E-10"
"Tl-204","3.779y","1.0","6.7E-10","1.2E-09","6.7E-10","6.6E-10","6.6E-10","6.6E-10","9.4E-10","6.7E-10","2.7E-09","6.8E-09","4.5E-09","4.5E-09","6.7E-10","6.6E-10","6.7E-10","6.7E-10","6.6E-10","6.6E-10","6.7E-10","6.6E-10","6.7E-10","6.6E-10","6.6E-10","6.6E-10","6.7E-10","7E-10","1.2E-09"
"Pb-195m","15.8m","0.2","5.4E-12","3.5E-12","3.1E-12","1.8E-13","1.4E-12","1.1E-12","1.7E-10","5.4E-11","5E-11","2.5E-11","3.9E-11","7.3E-12","4.4E-12","3.1E-12","1.2E-11","1.8E-11","3.9E-12","3E-13","2.1E-12","1.3E-12","1.2E-11","8.4E-13","1.1E-12","3E-13","9.6E-12","4.2E-12","2.9E-11"
"Pb-198","2.4h","0.2","2.1E-11","4.1E-11","2.1E-11","2.8E-12","5.6E-12","5.5E-12","1.7E-10","2.6E-10","4.6E-10","2.8E-10","3.8E-10","4.5E-11","3.1E-11","2.2E-11","1.4E-10","4E-11","3.2E-11","3.7E-12","8.4E-12","9.2E-12","2.8E-11","1.2E-11","5.5E-12","3.7E-12","7.9E-11","2.6E-11","1E-10"
"Pb-199","90m","0.2","1.3E-11","1.5E-11","1E-11","8.1E-13","3.4E-12","2.9E-12","1.6E-10","1.3E-10","2E-10","1.1E-10","1.6E-10","2.3E-11","1.4E-11","1E-11","5.4E-11","3.7E-11","1.4E-11","1.2E-12","5.1E-12","4.1E-12","2.4E-11","3.7E-12","2.9E-12","1.2E-12","3.8E-11","1.2E-11","5.4E-11"
"Pb-200","21.5h","0.2","7E-11","1.5E-10","1.4E-10","2.2E-11","2.4E-11","2.9E-11","2.4E-10","5.7E-10","1.5E-09","2.8E-09","2.1E-09","2.1E-10","1.4E-10","6.9E-11","4.1E-10","8.5E-11","1.2E-10","2.5E-11","3.5E-11","3.3E-11","6.8E-11","5.7E-11","2.9E-11","2.5E-11","2E-10","7.9E-11","4E-10"
"Pb-201","9.4h","0.2","2.8E-11","5.8E-11","4.1E-11","5.1E-12","8E-12","8.3E-12","1.8E-10","3.1E-10","7.1E-10","7.6E-10","7.3E-10","7.6E-11","4.9E-11","2.9E-11","1.8E-10","5.3E-11","4.5E-11","6.2E-12","1.2E-11","1.2E-11","3.7E-11","1.8E-11","8.3E-12","6.2E-12","1E-10","3.5E-11","1.6E-10"
"Pb-202","3E5y","0.2","1.2E-08","4.2E-09","3.8E-08","8.5E-09","3.5E-09","4.8E-09","4.4E-09","6.7E-09","6.2E-09","8.3E-09","7.1E-09","9.4E-09","1.2E-08","6.2E-09","7.4E-09","7.5E-09","2.4E-08","6.1E-09","6.6E-09","4.3E-09","5.1E-09","3.4E-09","4.8E-09","6.1E-09","5.6E-09","6.4E-09","8.8E-09"
"Pb-202m","3.62h","0.2","3.3E-11","4.8E-11","2.5E-11","2.8E-12","8.5E-12","7.6E-12","2.9E-10","3.2E-10","5.5E-10","2.6E-10","4.3E-10","6.1E-11","4.2E-11","2.9E-11","1.7E-10","7.9E-11","4.2E-11","3.9E-12","1.3E-11","1.2E-11","5.3E-11","1.3E-11","7.6E-12","3.9E-12","1.1E-10","3.5E-11","1.3E-10"
"Pb-203","52.05h","0.2","4.1E-11","8.5E-11","9.9E-11","1.3E-11","1.3E-11","1.6E-11","1.5E-10","3.3E-10","9.3E-10","1.8E-09","1.3E-09","1.5E-10","9.1E-11","3.9E-11","2.3E-10","5.5E-11","6.8E-11","1.5E-11","2.1E-11","1.8E-11","4.2E-11","3E-11","1.6E-11","1.5E-11","1.2E-10","4.5E-11","2.4E-10"
"Pb-205","1.43E7y","0.2","3.6E-11","3.8E-11","3.8E-09","4.1E-11","3.5E-11","3.5E-11","4.3E-11","5.3E-11","1.4E-10","3.5E-10","2.3E-10","3.3E-10","6.1E-10","3.8E-11","3.5E-11","3.5E-11","1.3E-09","3.5E-11","3.6E-11","3.6E-11","3.5E-11","3.5E-11","3.5E-11","3.5E-11","3.5E-11","4.2E-11","2.8E-10"
"Pb-209","3.253h","0.2","5.5E-13","2.5E-12","1.4E-11","5.5E-13","5.5E-13","5.5E-13","1.9E-10","2.2E-10","3.5E-10","1.7E-10","2.7E-10","7.1E-12","2.7E-12","5.5E-13","5.5E-13","5.5E-13","1.8E-12","5.5E-13","5.5E-13","5.5E-13","5.5E-13","5.5E-13","5.5E-13","5.5E-13","5.5E-13","5.3E-12","5.7E-11"
"Pb-210","22.3y","0.2","8.8E-08","8.9E-08","2.3E-05","8.8E-08","8.8E-08","8.8E-08","8.8E-08","8.8E-08","9.1E-08","9.8E-08","9.4E-08","3.7E-06","1.9E-06","8.8E-08","8.8E-08","8.8E-08","2.5E-06","8.8E-08","8.8E-08","8.8E-08","2.8E-06","8.8E-08","8.8E-08","8.8E-08","8.8E-08","1.4E-07","6.9E-07"
"Pb-211","36.1m","0.2","1.7E-11","1.9E-11","2.7E-10","1.7E-11","1.7E-11","1.7E-11","1.2E-09","4.8E-10","2.2E-10","3.9E-11","1.4E-10","1.7E-10","5.3E-11","1.7E-11","1.8E-11","1.8E-11","3.9E-11","1.7E-11","1.7E-11","1.7E-11","1.8E-11","1.7E-11","1.7E-11","1.7E-11","1.8E-11","2.8E-11","1.8E-10"
