"Nuclide","Half Life","f1","Adrenals","Urinary Bladder","Bone Surface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"Dy-165","2.334h","0.0005","2.9E-13","4E-13","2.7E-13","2.7E-15","5.5E-14","3.7E-14","4E-10","4.6E-10","5.6E-10","2E-10","4.1E-10","5E-13","3.3E-13","2.7E-13","1.7E-12","9.5E-13","3.5E-13","7E-15","9.5E-14","8.7E-14","6E-13","7.3E-14","3.7E-14","7E-15","1.2E-12","2.3E-10","1.1E-10"
"Dy-166","81.6h","0.0005","2.3E-12","2E-11","2.1E-11","2.5E-14","2.8E-13","1.8E-13","2.2E-10","7.3E-10","6.2E-09","2.2E-08","1.3E-08","7.6E-12","6E-12","6.6E-12","7E-11","6.4E-12","1.2E-11","4.9E-14","5.4E-13","1.7E-12","4.6E-12","4.4E-12","1.8E-13","4.9E-14","2.9E-11","2.1E-11","1.6E-09"
"Ho-155","48m","0.0005","3.2E-12","5.3E-12","2.6E-12","1.6E-14","6.4E-13","4.5E-13","1.8E-10","1.1E-10","1E-10","5.9E-11","8.2E-11","5.2E-12","3.4E-12","3.1E-12","2.1E-11","1E-11","4.2E-12","7.5E-14","1.1E-12","1.1E-12","6.4E-12","1.3E-12","4.5E-13","7.5E-14","1.2E-11","5.3E-12","3.7E-11"
"Ho-157","12.6m","0.0005","1.1E-12","8.9E-13","6E-13","4.7E-15","2.4E-13","1.7E-13","3.7E-11","9.4E-12","1E-11","6.3E-12","8.4E-12","1.4E-12","8.8E-13","7.3E-13","3.4E-12","4.5E-12","8.4E-13","2.2E-14","4.2E-13","2.5E-13","2.8E-12","2E-13","1.7E-13","2.2E-14","2.2E-12","9.1E-13","6.5E-12"
"Ho-159","33m","0.0005","1.5E-12","8.1E-13","9.1E-13","4.4E-15","2.9E-13","1.9E-13","4.8E-11","1.7E-11","1.2E-11","3.1E-12","7.9E-12","1.9E-12","1.1E-12","8.9E-13","3.7E-12","6.5E-12","9.4E-13","2.1E-14","5.6E-13","2.9E-13","4E-12","1.2E-13","1.9E-13","2.1E-14","3.1E-12","1.2E-12","7.9E-12"
"Ho-161","2.5h","0.0005","5.8E-13","1E-12","1.3E-12","3.9E-16","6.7E-14","2.9E-14","4.3E-11","4.8E-11","6.6E-11","2.5E-11","4.8E-11","1.2E-12","8.2E-13","8.1E-13","6.7E-12","3.1E-12","8.1E-13","1.9E-15","2E-13","1.7E-13","1.7E-12","1.1E-13","2.9E-14","1.9E-15","4.1E-12","1.8E-12","1.3E-11"
"Ho-162","15m","0.0005","3.5E-13","1.1E-13","1.5E-13","1.9E-15","7.8E-14","5.4E-14","2.5E-11","4.8E-12","1.7E-12","4E-13","1.1E-12","3.8E-13","2.2E-13","1.8E-13","4.8E-13","1.6E-12","1.6E-13","7.7E-15","1.4E-13","6.3E-14","9.7E-13","2.1E-14","5.4E-14","7.7E-15","4.1E-13","2.8E-13","3.3E-12"
"Ho-162m","68m","0.0005","4.3E-12","3.8E-12","2.5E-12","2.8E-14","9.7E-13","6.9E-13","1.2E-10","8.9E-11","8.1E-11","2E-11","5.4E-11","6.3E-12","3.9E-12","3.1E-12","1.7E-11","1.5E-11","3.8E-12","1.1E-13","1.6E-12","1.1E-12","9.3E-12","7.6E-13","6.9E-13","1.1E-13","1.3E-11","4.9E-12","2.6E-11"
"Ho-164","29m","0.0005","1.1E-13","5.5E-14","1.1E-13","4.1E-17","1.5E-14","6.4E-15","7.3E-11","2.7E-11","8.6E-12","8.9E-13","5.3E-12","1.5E-13","8.2E-14","7.8E-14","3.4E-13","6.9E-13","6E-14","3.4E-16","4.7E-14","1.8E-14","3.9E-13","3.7E-15","6.4E-15","3.4E-16","2.7E-13","6.4E-13","9.5E-12"
"Ho-164m","37.5m","0.0005","3E-13","2.4E-13","4E-13","1.6E-16","3.8E-14","1.5E-14","1.1E-10","7.6E-11","4.1E-11","5.8E-12","2.6E-11","4.7E-13","2.7E-13","2.6E-13","1.5E-12","1.8E-12","2.2E-13","8.8E-16","1.2E-13","5.8E-14","1E-12","1.6E-14","1.5E-14","8.8E-16","1.2E-12","1.8E-12","1.6E-11"
"Ho-166","26.80h","0.0005","1.1E-12","5.2E-12","3E-12","2.7E-14","2.3E-13","1.7E-13","7.9E-10","1.8E-09","8E-09","1.4E-08","1.1E-08","2.6E-12","3.1E-12","2.1E-12","1.8E-11","5.5E-12","3.3E-12","5.7E-14","3.6E-13","7E-13","1.9E-12","1.3E-12","1.7E-13","5.7E-14","8.4E-12","3.9E-11","1.4E-09"
"Ho-166m","1.20E3y","0.0005","8.8E-10","7E-10","3.9E-09","1.3E-10","1.7E-10","1.7E-10","1.1E-09","2.3E-09","5.1E-09","1.1E-08","7.8E-09","7.5E-10","3.4E-09","4.2E-10","2.1E-09","4.5E-09","1.1E-09","1.1E-10","3.6E-10","2E-10","5E-10","2.4E-10","1.7E-10","1.1E-10","1E-09","4.6E-10","2E-09"
"Ho-167","3.1h","0.0005","5E-12","7.8E-12","3.6E-12","1.8E-14","9.2E-13","6.5E-13","2.5E-10","3.2E-10","4.9E-10","2.2E-10","3.7E-10","8.9E-12","5.9E-12","4.7E-12","3.1E-11","1.4E-11","6.7E-12","9.5E-14","1.5E-12","1.6E-12","9.3E-12","1.6E-12","6.5E-13","9.5E-14","2.1E-11","1.1E-11","8.3E-11"
"Er-161","3.24h","0.0005","1.2E-11","2E-11","1E-11","8.2E-14","2.7E-12","1.9E-12","1.6E-10","2.2E-10","4.1E-10","2.1E-10","3.2E-10","2.3E-11","1.6E-11","1.3E-11","8.8E-11","3.5E-11","1.7E-11","3.7E-13","4.2E-12","4.6E-12","2.2E-11","4.7E-12","1.9E-12","3.7E-13","5.5E-11","1.7E-11","8E-11"
"Er-165","10.36h","0.0005","8E-13","4.1E-12","3.8E-12","9.2E-16","7.3E-14","3E-14","2E-11","4.2E-11","1E-10","9.9E-11","1E-10","2.4E-12","1.7E-12","1.9E-12","1.9E-11","3.4E-12","2.3E-12","2.2E-15","2E-13","4.1E-13","2E-12","6.8E-13","3E-14","2.2E-15","9.3E-12","2.7E-12","1.9E-11"
"Er-169","9.3d","0.0005","1.9E-14","4.9E-14","1.2E-11","1.9E-14","1.9E-14","1.9E-14","1.2E-10","2.9E-10","1.7E-09","4.7E-09","3E-09","1.9E-14","2.6E-13","1.9E-14","1.9E-14","1.9E-14","9.4E-13","1.9E-14","1.9E-14","1.9E-14","1.9E-14","1.9E-14","1.9E-14","1.9E-14","1.9E-14","6.1E-12","3.7E-10"
"Er-171","7.52h","0.0005","9E-12","2.4E-11","1.1E-11","3.3E-14","1.5E-12","1.1E-12","5E-10","9.2E-10","2.4E-09","2.1E-09","2.3E-09","1.9E-11","1.3E-11","1.1E-11","8.7E-11","2.3E-11","1.7E-11","1.7E-13","2.5E-12","3.7E-12","1.6E-11","5.5E-12","1.1E-12","1.7E-13","5E-11","3E-11","3.6E-10"
"Er-172","49.3h","0.0005","3E-11","1.5E-10","4.9E-11","2.6E-13","6E-12","4.5E-12","3E-10","8.6E-10","3.8E-09","1.1E-08","7E-09","6.9E-11","4.7E-11","5.7E-11","4.9E-10","6.3E-11","9.2E-11","1.1E-12","9.1E-12","2E-11","4.8E-11","4.7E-11","4.5E-12","1.1E-12","2.2E-10","7.2E-11","1E-09"
