"Nuclide","Half Life","Tye","f1","Adrenals","Urinary Bladder","Bone Suface","Brain","Breast","Esophagus","Stomach","Small Intestine","Upper Large Intestine","Lower Large Intestine","Colon","Kidneys","Liver","Muscle","Ovaries","Pancreas","Red Marrow","Extratrachial Airways","Lungs","Skin","Spleen","Testes","Thymus","Thyroid","Uterus","Remainder","E"
"At-211","7.214h","F","1.0","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.5E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","9.2E-07","6.6E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","1.4E-08","4.7E-07","4.3E-08"
"At-211","7.214h","M","1.0","9.1E-09","9.1E-09","9.1E-09","9.1E-09","9.1E-09","9.1E-09","1E-08","9.1E-09","9.2E-09","9.2E-09","9.2E-09","9.1E-09","9.1E-09","9.1E-09","9.1E-09","9.1E-09","9.1E-09","1.2E-06","1.5E-06","9.1E-09","9.1E-09","9.1E-09","9.1E-09","9.1E-09","9.1E-09","9.6E-09","1.9E-07"
"Fr-222","14.4m","F","1.0","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","1.4E-09","9.6E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","7.1E-07","9.8E-08","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","9.5E-10","3.6E-07","3E-08"
"Fr-223","21.8m","F","1.0","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","3E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","1.3E-08","3E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","2.9E-09","8.1E-09","3.2E-09"
"Ra-223","11.434d","F","0.3","5.7E-08","5.7E-08","2.2E-05","5.7E-08","5.7E-08","5.7E-08","5.9E-08","6.1E-08","1.6E-07","3.3E-07","2.3E-07","7.5E-08","5.5E-07","5.7E-08","5.5E-08","5.7E-08","1.3E-06","8E-06","2E-07","5.7E-08","5.6E-08","5.5E-08","5.7E-08","5.7E-08","5.7E-08","6E-08","4.9E-07"
"Ra-223","11.434d","M","0.1","1.2E-08","1.2E-08","4.5E-06","1.2E-08","1.2E-08","1.2E-08","1.6E-08","2.4E-08","1E-07","2.6E-07","1.7E-07","1.6E-08","1.1E-07","1.2E-08","1.2E-08","1.2E-08","2.5E-07","1.6E-05","0.00011","1.2E-08","1.2E-08","1.1E-08","1.2E-08","1.2E-08","1.2E-08","1.9E-08","1.3E-05"
"Ra-223","11.434d","S","0.01","1.2E-09","1.1E-09","2.4E-07","1E-09","1.2E-09","1.2E-09","6.1E-09","1.6E-08","9.3E-08","2.5E-07","1.6E-07","2.1E-09","6.5E-09","1.1E-09","1.2E-09","1.2E-09","1.4E-08","1.7E-05","0.00013","1E-09","1.2E-09","1E-09","1.2E-09","1.1E-09","1.1E-09","8.9E-09","1.5E-05"
"Ra-224","3.66d","F","0.3","4.4E-08","4.4E-08","1.3E-05","4.4E-08","4.4E-08","4.4E-08","4.5E-08","4.7E-08","1.1E-07","2.4E-07","1.7E-07","1.6E-07","2.1E-07","4.4E-08","4.3E-08","4.4E-08","7.2E-07","4.7E-06","1.6E-07","4.4E-08","4.4E-08","4.3E-08","4.4E-08","4.4E-08","4.4E-08","4.7E-08","2.9E-07"
"Ra-224","3.66d","M","0.1","9.6E-09","9.5E-09","2.3E-06","9.3E-09","9.5E-09","9.6E-09","1.3E-08","1.7E-08","7.8E-08","2E-07","1.3E-07","3.9E-08","4.1E-08","9.4E-09","9.6E-09","9.5E-09","1.3E-07","7.2E-06","4.3E-05","9.3E-09","9.5E-09","9.1E-09","9.6E-09","9.4E-09","9.5E-09","1.3E-08","5.3E-06"
"Ra-224","3.66d","S","0.01","2.3E-09","2.1E-09","1.4E-07","2E-09","2.3E-09","2.3E-09","5.8E-09","1.1E-08","7.3E-08","2E-07","1.3E-07","9.3E-09","5.7E-09","2.1E-09","2.5E-09","2.2E-09","9.5E-09","7.5E-06","4.9E-05","2E-09","2.2E-09","2E-09","2.3E-09","2.1E-09","2.2E-09","5.7E-09","5.9E-06"
"Ra-225","14.8d","F","0.3","4.8E-08","4.8E-08","2.7E-05","4.8E-08","4.8E-08","4.8E-08","4.8E-08","4.8E-08","5.4E-08","8.4E-08","6.7E-08","1.2E-07","7.1E-07","4.8E-08","5.4E-08","4.8E-08","1.7E-06","5.9E-07","4.8E-08","4.8E-08","4.6E-08","5.3E-08","4.8E-08","4.8E-08","4.8E-08","4.9E-08","5.6E-07"
"Ra-225","14.8d","M","0.1","1.8E-08","1.8E-08","9.4E-06","1.7E-08","1.8E-08","1.8E-08","1.8E-08","1.9E-08","2.8E-08","6.2E-08","4.3E-08","1.9E-07","1.9E-07","1.8E-08","3.6E-08","1.8E-08","8.2E-07","8.8E-06","9.2E-05","1.7E-08","1.7E-08","3.4E-08","1.8E-08","1.8E-08","1.7E-08","2.4E-08","1.1E-05"
"Ra-225","14.8d","S","0.01","9E-10","7.5E-10","4E-07","7.3E-10","9E-10","9E-10","1.2E-09","2.1E-09","1.2E-08","4.8E-08","2.8E-08","5.7E-09","9.1E-09","8E-10","1.3E-09","8.6E-10","3.1E-08","1.1E-05","0.00012","7.6E-10","8.2E-10","1.2E-09","9E-10","8E-10","7.5E-10","5.9E-09","1.4E-05"
"Ra-226","1600y","F","0.3","1.2E-07","1.2E-07","2.1E-05","1.2E-07","1.2E-07","1.2E-07","1.2E-07","1.2E-07","1.5E-07","2.5E-07","1.9E-07","1.5E-07","7.1E-07","1.2E-07","1.3E-07","1.2E-07","1.6E-06","1.3E-07","1.5E-07","1.2E-07","1.4E-07","1.4E-07","1.2E-07","1.2E-07","1.2E-07","1.2E-07","5.5E-07"
"Ra-226","1600y","M","0.1","4.8E-08","4.8E-08","8.5E-06","4.8E-08","4.8E-08","4.8E-08","4.9E-08","5E-08","7.9E-08","1.8E-07","1.2E-07","5.9E-08","2.8E-07","4.8E-08","5.1E-08","4.8E-08","6.7E-07","1.6E-05","5.7E-05","4.8E-08","5.8E-08","5.5E-08","4.8E-08","4.8E-08","4.8E-08","5.5E-08","7E-06"
"Ra-226","1600y","S","0.01","5.4E-09","5.1E-09","1.6E-06","5.1E-09","5.3E-09","5.4E-09","6.4E-09","8.6E-09","3.6E-08","1.4E-07","7.9E-08","7.8E-09","3E-08","5.2E-09","5.6E-09","5.3E-09","1E-07","8.6E-05","0.00016","5.1E-09","7.3E-09","6.1E-09","5.4E-09","5.2E-09","5.1E-09","4.4E-08","1.9E-05"
"Ra-227","42.2m","F","0.3","1E-10","1E-10","2.5E-08","1E-10","1E-10","1E-10","1.9E-10","1.5E-10","2.3E-10","1.6E-10","2E-10","6.1E-10","1.6E-09","1E-10","3.6E-10","1E-10","2.3E-09","9.6E-10","1.4E-10","1E-10","1E-10","3.6E-10","1E-10","1E-10","1E-10","1.1E-10","7.8E-10"
"Ra-227","42.2m","M","0.1","4.1E-11","4.1E-11","1E-08","4.1E-11","4.1E-11","4.2E-11","1.9E-10","1.3E-10","9.5E-11","6.5E-11","8.2E-11","2.5E-10","6.6E-10","4.1E-11","1.5E-10","4.2E-11","9.5E-10","1.6E-09","1E-09","4.1E-11","4.2E-11","1.5E-10","4.2E-11","4.1E-11","4.1E-11","4.7E-11","4.4E-10"
"Ra-227","42.2m","S","0.01","4.7E-12","4.2E-12","1E-09","4E-12","4.6E-12","5.4E-12","1.6E-10","9.4E-11","4.6E-11","1.1E-11","3.1E-11","2.5E-11","6.3E-11","4.7E-12","1.6E-11","5.6E-12","8.8E-11","2.9E-09","3.2E-09","4.1E-12","4.9E-12","1.5E-11","5.4E-12","4.2E-12","4.8E-12","8.9E-12","4.4E-10"
"Ra-228","5.75y","F","0.3","5.3E-07","5.3E-07","0.0001","5.3E-07","5.3E-07","5.3E-07","5.3E-07","5.3E-07","6.1E-07","7.6E-07","6.8E-07","2.2E-06","4.9E-06","5.3E-07","1E-06","5.3E-07","1.1E-05","5.4E-07","5.3E-07","5.3E-07","5.2E-07","1.2E-06","5.3E-07","5.3E-07","5.3E-07","5.5E-07","3.1E-06"
"Ra-228","5.75y","M","0.1","4.4E-07","4.4E-07","0.00012","4.4E-07","4.4E-07","4.4E-07","4.4E-07","4.4E-07","5.4E-07","7.5E-07","6.3E-07","3E-06","5.3E-06","4.4E-07","1.2E-06","4.4E-07","1.4E-05","1.2E-05","2.2E-05","4.4E-07","4.3E-07","1.3E-06","4.4E-07","4.4E-07","4.4E-07","4.7E-07","6.3E-06"
